document_id,paragraph_type,model_name,judge,clarity,informativeness,human_clarity,human_informativeness,n_ratings
56e222895cca8876,writer,,gemini-2.0-flash,75.0,65.0,79.18181818181819,80.81818181818181,11
56e222895cca8876,writer,,llama-3.3-70b,85.0,80.0,79.18181818181819,80.81818181818181,11
23e8297a309ee77c,writer,,gemini-2.0-flash,65.0,55.0,78.9,68.0,10
23e8297a309ee77c,writer,,llama-3.3-70b,80.0,30.0,78.9,68.0,10
deb569ccc8461119,writer,,gemini-2.0-flash,25.0,25.0,66.5,24.3,10
deb569ccc8461119,writer,,llama-3.3-70b,10.0,10.0,66.5,24.3,10
f062daa23bd230a2,writer,,gemini-2.0-flash,55.0,45.0,77.3,39.1,10
f062daa23bd230a2,writer,,llama-3.3-70b,55.0,40.0,77.3,39.1,10
53c07216abbdcadc,writer,,gemini-2.0-flash,55.0,55.0,62.6,46.4,10
53c07216abbdcadc,writer,,llama-3.3-70b,55.0,41.0,62.6,46.4,10
8c0c2ad7b42a56f6,writer,,gemini-2.0-flash,55.0,35.0,64.8,41.0,10
8c0c2ad7b42a56f6,writer,,llama-3.3-70b,70.0,30.0,64.8,41.0,10
7796e5f42bd4330f,writer,,gemini-2.0-flash,55.0,55.0,77.0,28.555555555555557,9
7796e5f42bd4330f,writer,,llama-3.3-70b,55.0,30.0,77.0,28.555555555555557,9
d98dcc3f3971b973,writer,,gemini-2.0-flash,55.0,45.0,79.6,59.7,10
d98dcc3f3971b973,writer,,llama-3.3-70b,55.0,50.0,79.6,59.7,10
be6e40b67777557a,writer,,gemini-2.0-flash,55.0,55.0,84.63636363636364,53.36363636363637,11
be6e40b67777557a,writer,,llama-3.3-70b,50.0,40.0,84.63636363636364,53.36363636363637,11
7ea00af60e5888aa,writer,,gemini-2.0-flash,65.0,70.0,82.33333333333333,68.22222222222223,9
7ea00af60e5888aa,writer,,llama-3.3-70b,75.0,73.0,82.33333333333333,68.22222222222223,9
e5913581d138e0af,writer,,gemini-2.0-flash,55.0,0.0,56.18181818181818,8.090909090909092,11
e5913581d138e0af,writer,,llama-3.3-70b,41.0,0.0,56.18181818181818,8.090909090909092,11
ea89d3f6c707c4f2,writer,,gemini-2.0-flash,55.0,30.0,70.4,32.0,10
ea89d3f6c707c4f2,writer,,llama-3.3-70b,65.0,30.0,70.4,32.0,10
3a877707ef699ad8,writer,,gemini-2.0-flash,55.0,45.0,53.18181818181818,44.27272727272727,11
3a877707ef699ad8,writer,,llama-3.3-70b,55.0,40.0,53.18181818181818,44.27272727272727,11
56e7bc17557e65d4,writer,,gemini-2.0-flash,72.0,55.0,84.1,30.0,10
56e7bc17557e65d4,writer,,llama-3.3-70b,75.0,41.0,84.1,30.0,10
39c9aabaa3691cdf,writer,,gemini-2.0-flash,55.0,45.0,68.88888888888889,25.444444444444443,9
39c9aabaa3691cdf,writer,,llama-3.3-70b,55.0,40.0,68.88888888888889,25.444444444444443,9
97ce6224773e4e9c,writer,,gemini-2.0-flash,55.0,65.0,63.6,51.5,10
97ce6224773e4e9c,writer,,llama-3.3-70b,30.0,73.0,63.6,51.5,10
785f402aca89fd9c,writer,,gemini-2.0-flash,55.0,55.0,66.11111111111111,47.111111111111114,9
785f402aca89fd9c,writer,,llama-3.3-70b,58.0,61.0,66.11111111111111,47.111111111111114,9
27e507b51ce41519,writer,,gemini-2.0-flash,65.0,45.0,42.333333333333336,29.555555555555557,9
27e507b51ce41519,writer,,llama-3.3-70b,70.0,41.0,42.333333333333336,29.555555555555557,9
d07b6f3b8a8a72cd,writer,,gemini-2.0-flash,35.0,55.0,73.66666666666667,53.55555555555556,9
d07b6f3b8a8a72cd,writer,,llama-3.3-70b,55.0,50.0,73.66666666666667,53.55555555555556,9
6c0b59ec4b0efc29,writer,,gemini-2.0-flash,55.0,35.0,46.0,36.7,10
6c0b59ec4b0efc29,writer,,llama-3.3-70b,50.0,20.0,46.0,36.7,10
1ed146b9ef31eb78,writer,,gemini-2.0-flash,55.0,45.0,69.25,36.583333333333336,12
1ed146b9ef31eb78,writer,,llama-3.3-70b,50.0,40.0,69.25,36.583333333333336,12
1a8101de41fd831e,writer,,gemini-2.0-flash,65.0,45.0,65.3,31.8,10
1a8101de41fd831e,writer,,llama-3.3-70b,55.0,40.0,65.3,31.8,10
a1ece933e1df45e2,writer,,gemini-2.0-flash,55.0,30.0,64.0,36.8,10
a1ece933e1df45e2,writer,,llama-3.3-70b,55.0,20.0,64.0,36.8,10
525eb53e6a381dff,writer,,gemini-2.0-flash,68.0,55.0,65.7,35.0,10
525eb53e6a381dff,writer,,llama-3.3-70b,,50.0,65.7,35.0,10
8b1e2e7c9b7a1655,writer,,gemini-2.0-flash,55.0,25.0,42.6,12.8,10
8b1e2e7c9b7a1655,writer,,llama-3.3-70b,40.0,20.0,42.6,12.8,10
87c3ff5e4470dd8d,writer,,gemini-2.0-flash,45.0,35.0,80.22222222222223,18.444444444444443,9
87c3ff5e4470dd8d,writer,,llama-3.3-70b,30.0,50.0,80.22222222222223,18.444444444444443,9
cd35ed2d33f6a2b1,writer,,gemini-2.0-flash,48.0,55.0,66.7,51.3,10
cd35ed2d33f6a2b1,writer,,llama-3.3-70b,30.0,55.0,66.7,51.3,10
899a7e76dd44a665,writer,,gemini-2.0-flash,65.0,35.0,85.44444444444444,24.22222222222222,9
899a7e76dd44a665,writer,,llama-3.3-70b,80.0,30.0,85.44444444444444,24.22222222222222,9
bef9bf3d329cffa0,writer,,gemini-2.0-flash,65.0,65.0,78.66666666666667,49.666666666666664,9
bef9bf3d329cffa0,writer,,llama-3.3-70b,77.0,81.0,78.66666666666667,49.666666666666664,9
9c8dead7eacd36f9,writer,,gemini-2.0-flash,55.0,35.0,76.77777777777777,32.77777777777778,9
9c8dead7eacd36f9,writer,,llama-3.3-70b,40.0,20.0,76.77777777777777,32.77777777777778,9
3e096f139af7e469,writer,,gemini-2.0-flash,55.0,55.0,76.81818181818181,48.45454545454545,11
3e096f139af7e469,writer,,llama-3.3-70b,55.0,41.0,76.81818181818181,48.45454545454545,11
c460fb478f404236,writer,,gemini-2.0-flash,55.0,45.0,58.6,21.7,10
c460fb478f404236,writer,,llama-3.3-70b,55.0,50.0,58.6,21.7,10
724e2f1cbb6e662b,writer,,gemini-2.0-flash,65.0,45.0,80.4,52.1,10
724e2f1cbb6e662b,writer,,llama-3.3-70b,70.0,41.0,80.4,52.1,10
d32e792227a65530,writer,,gemini-2.0-flash,45.0,45.0,82.88888888888889,50.888888888888886,9
d32e792227a65530,writer,,llama-3.3-70b,40.0,40.0,82.88888888888889,50.888888888888886,9
7a1ec1c5aea662b6,writer,,gemini-2.0-flash,65.0,55.0,75.45454545454545,45.54545454545455,11
7a1ec1c5aea662b6,writer,,llama-3.3-70b,70.0,40.0,75.45454545454545,45.54545454545455,11
382f7485b8f63b39,writer,,gemini-2.0-flash,35.0,50.0,66.9,38.3,10
382f7485b8f63b39,writer,,llama-3.3-70b,50.0,40.0,66.9,38.3,10
0b52420f9d02601b,writer,,gemini-2.0-flash,65.0,35.0,84.22222222222223,31.77777777777778,9
0b52420f9d02601b,writer,,llama-3.3-70b,80.0,50.0,84.22222222222223,31.77777777777778,9
a51c2fd031e1bb53,writer,,gemini-2.0-flash,55.0,35.0,72.0,41.0,10
a51c2fd031e1bb53,writer,,llama-3.3-70b,55.0,20.0,72.0,41.0,10
fff525777a6e7940,writer,,gemini-2.0-flash,55.0,45.0,70.6,29.9,10
fff525777a6e7940,writer,,llama-3.3-70b,58.0,40.0,70.6,29.9,10
f7ddae1e6253d59f,writer,,gemini-2.0-flash,65.0,55.0,63.7,48.1,10
f7ddae1e6253d59f,writer,,llama-3.3-70b,65.0,40.0,63.7,48.1,10
2f2796533557850f,writer,,gemini-2.0-flash,65.0,55.0,75.1,68.8,10
2f2796533557850f,writer,,llama-3.3-70b,55.0,60.0,75.1,68.8,10
cbcc57c8e829d7d3,writer,,gemini-2.0-flash,45.0,55.0,51.0,37.333333333333336,9
cbcc57c8e829d7d3,writer,,llama-3.3-70b,50.0,41.0,51.0,37.333333333333336,9
395294b371b794b1,writer,,gemini-2.0-flash,55.0,45.0,42.666666666666664,23.11111111111111,9
395294b371b794b1,writer,,llama-3.3-70b,50.0,41.0,42.666666666666664,23.11111111111111,9
e0992cfcfec445b2,writer,,gemini-2.0-flash,72.0,55.0,76.54545454545455,57.54545454545455,11
e0992cfcfec445b2,writer,,llama-3.3-70b,85.0,55.0,76.54545454545455,57.54545454545455,11
56987c56ef64e6be,writer,,gemini-2.0-flash,55.0,55.0,64.72727272727273,52.72727272727273,11
56987c56ef64e6be,writer,,llama-3.3-70b,65.0,61.0,64.72727272727273,52.72727272727273,11
42d78fd52532836d,writer,,gemini-2.0-flash,65.0,55.0,68.2,44.4,10
42d78fd52532836d,writer,,llama-3.3-70b,63.0,73.0,68.2,44.4,10
e37a81dfd95da419,writer,,gemini-2.0-flash,65.0,65.0,72.0,51.55555555555556,9
e37a81dfd95da419,writer,,llama-3.3-70b,78.0,81.0,72.0,51.55555555555556,9
de2779afe28e207e,writer,,gemini-2.0-flash,55.0,35.0,80.4,33.2,10
de2779afe28e207e,writer,,llama-3.3-70b,61.0,30.0,80.4,33.2,10
944a9a5e9af9882b,writer,,gemini-2.0-flash,45.0,55.0,62.2,33.8,10
944a9a5e9af9882b,writer,,llama-3.3-70b,58.0,55.0,62.2,33.8,10
a7463f4f55f19ac5,writer,,gemini-2.0-flash,55.0,55.0,72.75,46.916666666666664,12
a7463f4f55f19ac5,writer,,llama-3.3-70b,55.0,51.0,72.75,46.916666666666664,12
bedc0a6a0ec03ed0,writer,,gemini-2.0-flash,55.0,35.0,61.083333333333336,34.333333333333336,12
bedc0a6a0ec03ed0,writer,,llama-3.3-70b,55.0,30.0,61.083333333333336,34.333333333333336,12
05b82240f4d1c794,writer,,gemini-2.0-flash,68.0,65.0,57.9,51.5,10
05b82240f4d1c794,writer,,llama-3.3-70b,70.0,65.0,57.9,51.5,10
400ce68fed0c108c,writer,,gemini-2.0-flash,45.0,45.0,75.27272727272727,47.45454545454545,11
400ce68fed0c108c,writer,,llama-3.3-70b,42.0,55.0,75.27272727272727,47.45454545454545,11
a6dc02edeaa5fb04,writer,,gemini-2.0-flash,68.0,30.0,60.9,35.7,10
a6dc02edeaa5fb04,writer,,llama-3.3-70b,90.0,40.0,60.9,35.7,10
bdccf92dd6935359,writer,,gemini-2.0-flash,55.0,65.0,86.9,63.6,10
bdccf92dd6935359,writer,,llama-3.3-70b,65.0,70.0,86.9,63.6,10
cffd087507062ef8,writer,,gemini-2.0-flash,55.0,45.0,70.66666666666667,43.0,12
cffd087507062ef8,writer,,llama-3.3-70b,50.0,30.0,70.66666666666667,43.0,12
36f7abaaf92f7b8e,writer,,gemini-2.0-flash,55.0,45.0,76.33333333333333,33.77777777777778,9
36f7abaaf92f7b8e,writer,,llama-3.3-70b,55.0,40.0,76.33333333333333,33.77777777777778,9
89e80788d130a738,writer,,gemini-2.0-flash,55.0,55.0,66.66666666666667,28.666666666666668,9
89e80788d130a738,writer,,llama-3.3-70b,65.0,41.0,66.66666666666667,28.666666666666668,9
78019e891236dfd9,writer,,gemini-2.0-flash,55.0,30.0,78.33333333333333,57.22222222222222,9
78019e891236dfd9,writer,,llama-3.3-70b,55.0,20.0,78.33333333333333,57.22222222222222,9
f51155971158de2e,writer,,gemini-2.0-flash,55.0,70.0,71.88888888888889,44.77777777777778,9
f51155971158de2e,writer,,llama-3.3-70b,65.0,73.0,71.88888888888889,44.77777777777778,9
c31d66e369629325,model,anthropic/claude-sonnet-4,gemini-2.0-flash,85.0,75.0,90.2,64.3,10
c31d66e369629325,model,anthropic/claude-sonnet-4,llama-3.3-70b,95.0,85.0,90.2,64.3,10
d00e86fbd285c573,model,anthropic/claude-sonnet-4,gemini-2.0-flash,85.0,50.0,91.2,72.4,10
d00e86fbd285c573,model,anthropic/claude-sonnet-4,llama-3.3-70b,90.0,20.0,91.2,72.4,10
d4292557c9160238,model,anthropic/claude-sonnet-4,gemini-2.0-flash,85.0,65.0,76.9090909090909,64.54545454545455,11
d4292557c9160238,model,anthropic/claude-sonnet-4,llama-3.3-70b,95.0,81.0,76.9090909090909,64.54545454545455,11
d179e6969bbf31c9,model,anthropic/claude-sonnet-4,gemini-2.0-flash,85.0,45.0,83.0,53.916666666666664,12
d179e6969bbf31c9,model,anthropic/claude-sonnet-4,llama-3.3-70b,95.0,41.0,83.0,53.916666666666664,12
8d4635e31b1748bf,model,anthropic/claude-sonnet-4,gemini-2.0-flash,85.0,55.0,94.4,75.0,10
8d4635e31b1748bf,model,anthropic/claude-sonnet-4,llama-3.3-70b,90.0,82.0,94.4,75.0,10
8cd73dcbba0560bf,model,anthropic/claude-sonnet-4,gemini-2.0-flash,85.0,65.0,86.18181818181819,69.0,11
8cd73dcbba0560bf,model,anthropic/claude-sonnet-4,llama-3.3-70b,95.0,70.0,86.18181818181819,69.0,11
888aac4952c3d873,model,anthropic/claude-sonnet-4,gemini-2.0-flash,75.0,55.0,85.55555555555556,53.44444444444444,9
888aac4952c3d873,model,anthropic/claude-sonnet-4,llama-3.3-70b,90.0,60.0,85.55555555555556,53.44444444444444,9
5bd93bf2ff343943,model,anthropic/claude-sonnet-4,gemini-2.0-flash,85.0,55.0,87.3,65.4,10
5bd93bf2ff343943,model,anthropic/claude-sonnet-4,llama-3.3-70b,95.0,70.0,87.3,65.4,10
206a0bc576264599,model,anthropic/claude-sonnet-4,gemini-2.0-flash,72.0,50.0,70.5,66.5,10
206a0bc576264599,model,anthropic/claude-sonnet-4,llama-3.3-70b,90.0,55.0,70.5,66.5,10
74a9f7c2ec8e9995,model,anthropic/claude-sonnet-4,gemini-2.0-flash,85.0,65.0,72.7,60.9,10
74a9f7c2ec8e9995,model,anthropic/claude-sonnet-4,llama-3.3-70b,90.0,82.0,72.7,60.9,10
b05c08931288092d,model,anthropic/claude-sonnet-4,gemini-2.0-flash,85.0,75.0,77.9,66.6,10
b05c08931288092d,model,anthropic/claude-sonnet-4,llama-3.3-70b,95.0,82.0,77.9,66.6,10
7577ee8ce1628a86,model,anthropic/claude-sonnet-4,gemini-2.0-flash,75.0,45.0,88.11111111111111,75.11111111111111,9
7577ee8ce1628a86,model,anthropic/claude-sonnet-4,llama-3.3-70b,90.0,78.0,88.11111111111111,75.11111111111111,9
de0425d6f90aa368,model,anthropic/claude-sonnet-4,gemini-2.0-flash,65.0,45.0,47.45454545454545,46.81818181818182,11
de0425d6f90aa368,model,anthropic/claude-sonnet-4,llama-3.3-70b,85.0,30.0,47.45454545454545,46.81818181818182,11
b5ae738a8a2816cb,model,anthropic/claude-sonnet-4,gemini-2.0-flash,72.0,55.0,79.9,53.1,10
b5ae738a8a2816cb,model,anthropic/claude-sonnet-4,llama-3.3-70b,70.0,40.0,79.9,53.1,10
6f87a80d0598346a,model,anthropic/claude-sonnet-4,gemini-2.0-flash,72.0,55.0,43.8,48.6,10
6f87a80d0598346a,model,anthropic/claude-sonnet-4,llama-3.3-70b,85.0,41.0,43.8,48.6,10
4ac9c53d25b3378c,model,anthropic/claude-sonnet-4,gemini-2.0-flash,85.0,65.0,92.27272727272727,57.27272727272727,11
4ac9c53d25b3378c,model,anthropic/claude-sonnet-4,llama-3.3-70b,95.0,80.0,92.27272727272727,57.27272727272727,11
0fff5b7448db9135,model,anthropic/claude-sonnet-4,gemini-2.0-flash,85.0,65.0,81.6,72.5,10
0fff5b7448db9135,model,anthropic/claude-sonnet-4,llama-3.3-70b,95.0,85.0,81.6,72.5,10
7769824931bd466d,model,anthropic/claude-sonnet-4,gemini-2.0-flash,90.0,65.0,94.7,80.9,10
7769824931bd466d,model,anthropic/claude-sonnet-4,llama-3.3-70b,95.0,75.0,94.7,80.9,10
9a1b120ae1a6dbe4,model,anthropic/claude-sonnet-4,gemini-2.0-flash,90.0,45.0,68.22222222222223,58.111111111111114,9
9a1b120ae1a6dbe4,model,anthropic/claude-sonnet-4,llama-3.3-70b,95.0,65.0,68.22222222222223,58.111111111111114,9
f7d96d7af857b1c0,model,anthropic/claude-sonnet-4,gemini-2.0-flash,75.0,55.0,36.8,33.8,10
f7d96d7af857b1c0,model,anthropic/claude-sonnet-4,llama-3.3-70b,90.0,60.0,36.8,33.8,10
c031c0b7fda4dff4,model,anthropic/claude-sonnet-4,gemini-2.0-flash,85.0,65.0,83.33333333333333,75.33333333333333,9
c031c0b7fda4dff4,model,anthropic/claude-sonnet-4,llama-3.3-70b,90.0,70.0,83.33333333333333,75.33333333333333,9
863091fb20084275,model,anthropic/claude-sonnet-4,gemini-2.0-flash,85.0,55.0,86.45454545454545,70.9090909090909,11
863091fb20084275,model,anthropic/claude-sonnet-4,llama-3.3-70b,95.0,80.0,86.45454545454545,70.9090909090909,11
fd78b206e825dd26,model,anthropic/claude-sonnet-4,gemini-2.0-flash,75.0,70.0,69.88888888888889,56.22222222222222,9
fd78b206e825dd26,model,anthropic/claude-sonnet-4,llama-3.3-70b,90.0,60.0,69.88888888888889,56.22222222222222,9
057ff2c32392f26f,model,anthropic/claude-sonnet-4,gemini-2.0-flash,85.0,70.0,88.4,77.5,10
057ff2c32392f26f,model,anthropic/claude-sonnet-4,llama-3.3-70b,95.0,80.0,88.4,77.5,10
d77ab5e90ac23a9a,model,anthropic/claude-sonnet-4,gemini-2.0-flash,75.0,70.0,67.44444444444444,54.22222222222222,9
d77ab5e90ac23a9a,model,anthropic/claude-sonnet-4,llama-3.3-70b,90.0,77.0,67.44444444444444,54.22222222222222,9
d8c3e0ea3c3e968f,model,anthropic/claude-sonnet-4,gemini-2.0-flash,85.0,65.0,87.45454545454545,57.54545454545455,11
d8c3e0ea3c3e968f,model,anthropic/claude-sonnet-4,llama-3.3-70b,90.0,78.0,87.45454545454545,57.54545454545455,11
1d794e63e829f68f,model,anthropic/claude-sonnet-4,gemini-2.0-flash,72.0,45.0,80.0,67.36363636363636,11
1d794e63e829f68f,model,anthropic/claude-sonnet-4,llama-3.3-70b,90.0,41.0,80.0,67.36363636363636,11
abf5d037f7d804f2,model,anthropic/claude-sonnet-4,gemini-2.0-flash,90.0,55.0,86.7,55.3,10
abf5d037f7d804f2,model,anthropic/claude-sonnet-4,llama-3.3-70b,95.0,81.0,86.7,55.3,10
c54a9e6d6cf85712,model,anthropic/claude-sonnet-4,gemini-2.0-flash,85.0,55.0,92.3,73.8,10
c54a9e6d6cf85712,model,anthropic/claude-sonnet-4,llama-3.3-70b,96.0,70.0,92.3,73.8,10
d5c6d0184c826fcb,model,anthropic/claude-sonnet-4,gemini-2.0-flash,85.0,70.0,74.0,71.3,10
d5c6d0184c826fcb,model,anthropic/claude-sonnet-4,llama-3.3-70b,90.0,85.0,74.0,71.3,10
70b98fa18f08f56a,model,anthropic/claude-sonnet-4,gemini-2.0-flash,90.0,65.0,87.5,59.4,10
70b98fa18f08f56a,model,anthropic/claude-sonnet-4,llama-3.3-70b,90.0,65.0,87.5,59.4,10
06e681b478131121,model,anthropic/claude-sonnet-4,gemini-2.0-flash,75.0,45.0,80.9,47.9,10
06e681b478131121,model,anthropic/claude-sonnet-4,llama-3.3-70b,82.0,60.0,80.9,47.9,10
81c1326066086337,model,anthropic/claude-sonnet-4,gemini-2.0-flash,85.0,65.0,86.0,80.9,10
81c1326066086337,model,anthropic/claude-sonnet-4,llama-3.3-70b,95.0,85.0,86.0,80.9,10
3e038efd39410b53,model,anthropic/claude-sonnet-4,gemini-2.0-flash,85.0,70.0,79.36363636363636,61.36363636363637,11
3e038efd39410b53,model,anthropic/claude-sonnet-4,llama-3.3-70b,95.0,81.0,79.36363636363636,61.36363636363637,11
963e81fa6544d74e,model,anthropic/claude-sonnet-4,gemini-2.0-flash,85.0,65.0,79.77777777777777,67.11111111111111,9
963e81fa6544d74e,model,anthropic/claude-sonnet-4,llama-3.3-70b,90.0,81.0,79.77777777777777,67.11111111111111,9
ff4bacaff29d5736,model,anthropic/claude-sonnet-4,gemini-2.0-flash,85.0,70.0,64.58333333333333,58.416666666666664,12
ff4bacaff29d5736,model,anthropic/claude-sonnet-4,llama-3.3-70b,90.0,80.0,64.58333333333333,58.416666666666664,12
5b1a59dd1d9b4792,model,anthropic/claude-sonnet-4,gemini-2.0-flash,90.0,55.0,83.0,53.0,9
5b1a59dd1d9b4792,model,anthropic/claude-sonnet-4,llama-3.3-70b,90.0,55.0,83.0,53.0,9
b6420c948fee288c,model,anthropic/claude-sonnet-4,gemini-2.0-flash,72.0,35.0,73.2,46.6,10
b6420c948fee288c,model,anthropic/claude-sonnet-4,llama-3.3-70b,75.0,55.0,73.2,46.6,10
70dc2c18f1fa5b41,model,anthropic/claude-sonnet-4,gemini-2.0-flash,90.0,55.0,86.5,75.6,10
70dc2c18f1fa5b41,model,anthropic/claude-sonnet-4,llama-3.3-70b,95.0,80.0,86.5,75.6,10
212072634b2b2a9b,model,anthropic/claude-sonnet-4,gemini-2.0-flash,85.0,75.0,95.9,76.5,10
212072634b2b2a9b,model,anthropic/claude-sonnet-4,llama-3.3-70b,98.0,81.0,95.9,76.5,10
7095e819facada4e,model,anthropic/claude-sonnet-4,gemini-2.0-flash,72.0,55.0,80.1,65.5,10
7095e819facada4e,model,anthropic/claude-sonnet-4,llama-3.3-70b,90.0,60.0,80.1,65.5,10
3b583b2f96139273,model,anthropic/claude-sonnet-4,gemini-2.0-flash,85.0,70.0,90.8,75.8,10
3b583b2f96139273,model,anthropic/claude-sonnet-4,llama-3.3-70b,95.0,85.0,90.8,75.8,10
9ffeec997307b2f0,model,anthropic/claude-sonnet-4,gemini-2.0-flash,85.0,65.0,83.0909090909091,57.18181818181818,11
9ffeec997307b2f0,model,anthropic/claude-sonnet-4,llama-3.3-70b,90.0,60.0,83.0909090909091,57.18181818181818,11
92c1f6a8c5431da1,model,anthropic/claude-sonnet-4,gemini-2.0-flash,65.0,55.0,72.33333333333333,52.0,9
92c1f6a8c5431da1,model,anthropic/claude-sonnet-4,llama-3.3-70b,65.0,60.0,72.33333333333333,52.0,9
2285da0333163c63,model,anthropic/claude-sonnet-4,gemini-2.0-flash,90.0,45.0,85.8,59.9,10
2285da0333163c63,model,anthropic/claude-sonnet-4,llama-3.3-70b,95.0,40.0,85.8,59.9,10
85d48b04b5e284ec,model,anthropic/claude-sonnet-4,gemini-2.0-flash,85.0,50.0,85.7,76.5,10
85d48b04b5e284ec,model,anthropic/claude-sonnet-4,llama-3.3-70b,95.0,68.0,85.7,76.5,10
97b87b3ab42b403a,model,anthropic/claude-sonnet-4,gemini-2.0-flash,72.0,55.0,82.4,46.6,10
97b87b3ab42b403a,model,anthropic/claude-sonnet-4,llama-3.3-70b,70.0,60.0,82.4,46.6,10
bc419e505b17e89f,model,anthropic/claude-sonnet-4,gemini-2.0-flash,85.0,65.0,94.88888888888889,72.11111111111111,9
bc419e505b17e89f,model,anthropic/claude-sonnet-4,llama-3.3-70b,95.0,80.0,94.88888888888889,72.11111111111111,9
d1d730b3c2de019f,model,anthropic/claude-sonnet-4,gemini-2.0-flash,85.0,55.0,71.7,45.3,10
d1d730b3c2de019f,model,anthropic/claude-sonnet-4,llama-3.3-70b,90.0,41.0,71.7,45.3,10
4707bddd287492ae,model,anthropic/claude-sonnet-4,gemini-2.0-flash,85.0,70.0,87.3,60.1,10
4707bddd287492ae,model,anthropic/claude-sonnet-4,llama-3.3-70b,90.0,80.0,87.3,60.1,10
889e242ff240d38b,model,anthropic/claude-sonnet-4,gemini-2.0-flash,85.0,75.0,84.8,70.7,10
